Code,Description,Size,Pack,Qty,Price,Image,main_category,sub_category
PVC-1/16HH,1/16 BEND (H ù H),2,100,200,,images/225Elbow.png,Plumbing,Fittings
PVC-1/16HH,1/16 BEND (H ù H),3,25,100,,images/225Elbow.png,Plumbing,Fittings
PVC-1/16HH,1/16 BEND (H ù H),1-1/2,200,200,,images/225Elbow.png,Plumbing,Fittings
PVC-1/16HS,"1/16 BEND, STREET (H ù S) ",2,100,200,,images/225Elbow.png,Plumbing,Fittings
PVC-1/16HS,"1/16 BEND, STREET (H ù S) ",3,25,100,,images/225Elbow.png,Plumbing,Fittings
PVC-1/16HS,"1/16 BEND, STREET (H ù S) ",1-1/2,200,200,,images/225Elbow.png,Plumbing,Fittings
PVC-1/4HH,1/4 BEND (H x H),2,50,2700,0.9,images/90Elbow.png,Plumbing,Fittings
PVC-1/4HH,1/4 BEND (H x H),3,25,1975,2.4,images/90Elbow.png,Plumbing,Fittings
PVC-1/4HH,1/4 BEND (H x H),4,10,220,4.1,images/90Elbow.png,Plumbing,Fittings
PVC-1/4HH,1/4 BEND (H x H),1-1/2,100,3300,0.6,images/90Elbow.png,Plumbing,Fittings
PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H ù H),2,60,600,,images/90ElbowLong.png,Plumbing,Fittings
PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H ù H),3,10,600,,images/90ElbowLong.png,Plumbing,Fittings
PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H ù H),4,5,20,,images/90ElbowLong.png,Plumbing,Fittings
PVC-1/4HS,"1/4 BEND, STREET (H ù S)",2,50,200,,images/90Elbow.png,Plumbing,Fittings
PVC-1/4HS,"1/4 BEND, STREET (H ù S)",3,20,100,,images/90Elbow.png,Plumbing,Fittings
PVC-1/4HS,"1/4 BEND, STREET (H ù S)",4,10,20,,images/90Elbow.png,Plumbing,Fittings
PVC-1/4HS,"1/4 BEND, STREET (H ù S)",1-1/2,180,180,,images/90Elbow.png,Plumbing,Fittings
PVC-1/4LOWHEEL,1/4 BEND W/ LOW HEEL INLET (H ù H ù H) ,3x3x2,25,150,,images/90Elbow.png,Plumbing,Fittings
PVC-1/8HH,1/8 BEND (H x H),2,50,1400,0.8,images/90Elbow.png,Plumbing,Fittings
PVC-1/8HH,1/8 BEND (H x H),3,25,1350,2.3,images/90Elbow.png,Plumbing,Fittings
PVC-1/8HH,1/8 BEND (H x H),4,15,75,4.1,images/90Elbow.png,Plumbing,Fittings
PVC-1/8HH,1/8 BEND (H x H),1-1/2,100,600,0.6,images/90Elbow.png,Plumbing,Fittings
