code,description,size,pcs_per_ctn,qty_on_hand,unit_price,image_url
PIPE-SOLID,ASTM D1785 SCH40 PVC,2,20,460,16.20,images/pipe-solid.svg
PIPE-SOLID,ASTM D1785 SCH40 PVC,3,20,460,30.00,images/pipe-solid.svg
PIPE-SOLID,ASTM D1785 SCH40 PVC,4,20,460,54.80,images/pipe-solid.svg
PIPE-FOAM,ASTM F891 PVC Foam Core DWV Pipe,1-1/2,20,,7.70,images/pipe-foam.svg
PIPE-FOAM,ASTM F891 PVC Foam Core DWV Pipe,2,20,,9.80,images/pipe-foam.svg
PIPE-FOAM,ASTM F891 PVC Foam Core DWV Pipe,3,20,,18.60,images/pipe-foam.svg
PIPE-FOAM,ASTM F891 PVC Foam Core DWV Pipe,4,20,,27.60,images/pipe-foam.svg
PVC-1/4HH,1/4 BEND (H x H),1-1/2,100,4800,0.60,images/elbow-90.svg
PVC-1/4HH,1/4 BEND (H x H),2,50,3700,0.90,images/elbow-90.svg
PVC-1/4HH,1/4 BEND (H x H),3,25,2075,2.40,images/elbow-90.svg
PVC-1/4HH,1/4 BEND (H x H),4,10,230,4.10,images/elbow-90.svg
PVC-1/8HH,1/8 BEND (H x H),1-1/2,100,999,0.60,images/elbow-45.svg
PVC-1/8HH,1/8 BEND (H x H),2,50,2399,0.80,images/elbow-45.svg
PVC-1/8HH,1/8 BEND (H x H),3,25,1724,2.30,images/elbow-45.svg
PVC-1/8HH,1/8 BEND (H x H),4,15,179,4.10,images/elbow-45.svg
PVC-1/8HS,1/8 BEND STREET (H x S),1-1/2,100,800,0.50,images/elbow-45s.svg
PVC-1/8HS,1/8 BEND STREET (H x S),2,50,2400,0.80,images/elbow-45s.svg
PVC-1/8HS,1/8 BEND STREET (H x S),3,25,1500,2.10,images/elbow-45s.svg
PVC-1/8HS,1/8 BEND STREET (H x S),4,9,153,3.50,images/elbow-45s.svg
PVC-SANTEE,SANITARY TEE (ALL HUB),1-1/2,60,360,1.00,images/sanitary-tee.svg
PVC-SANTEE,SANITARY TEE (ALL HUB),2,35,105,1.40,images/sanitary-tee.svg
PVC-SANTEE,SANITARY TEE (ALL HUB),3,15,105,3.50,images/sanitary-tee.svg
PVC-SANTEE,SANITARY TEE (ALL HUB),4,5,100,8.60,images/sanitary-tee.svg
PVC-WYEHUB,WYE (ALL HUB),1-1/2,50,100,1.10,images/wye.svg
PVC-WYEHUB,WYE (ALL HUB),2,25,700,1.70,images/wye.svg
PVC-WYEHUB,WYE (ALL HUB),3,15,105,4.50,images/wye.svg
PVC-WYEHUB,WYE (ALL HUB),4,8,100,7.90,images/wye.svg
PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),3x3x2,15,375,3.40,images/reducing-tee.svg
PVC-CLSTFLNGH,CLOSET FLANGE W/TEST PLATE (H),4x3,20,1619,3.10,images/closet-flange.svg
